KCLANPO23N000001700,장소,관광지,8268823,천제연폭포,,,60504,폭포/계곡,5.01301E+18,제주특별자치도,서귀포시,중문동,,2232,5013011200,5013061000,5.01303E+11,천제연로,132,126.4183756,33.25266123,나나992740,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001701,장소,관광지,8268825,천지연폭포,,,60504,폭포/계곡,5.01301E+18,제주특별자치도,서귀포시,서홍동,,2565,5013010600,5013054000,5.01303E+11,분토왓로,46,126.5562701,33.24600072,다나120731,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001715,장소,관광지,8268842,탐라계곡,,,60504,폭포/계곡,5.01101E+18,제주특별자치도,제주시,오라이동,,산107-20,5011012000,5011064000,,,,126.5371057,33.4020727,다나104904,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001769,장소,관광지,8268939,관음사지구야영장,관음사코스,,60506,야영장,5.01101E+18,제주특별자치도,제주시,오등동,,산180-3,5011013400,5011063000,5.01103E+11,산록북로,588,126.5510624,33.42163673,다나117926,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001770,장소,관광지,8268940,제주청소년야영장,,,60506,야영장,5.01101E+18,제주특별자치도,제주시,봉개동,,234-4,5011011600,5011062000,5.01103E+11,명림로,387,126.6211201,33.45537098,다나183963,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001771,장소,관광지,8268942,모구리야영장,,,60506,야영장,5.01303E+18,제주특별자치도,서귀포시,성산읍,난산리,2971,5013025931,5013025900,5.01303E+11,서성일로,260,126.8207456,33.40585354,다나368906,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001937,장소,관광지,8269260,고산선사유적지,,,60603,유명사적/유적지,5.01103E+18,제주특별자치도,제주시,한경면,고산리,3627,5011031023,5011031000,,,,126.1655882,33.30551893,나나757801,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001952,장소,관광지,8269283,관덕정성지,,,60605,보물,5.01101E+18,제주특별자치도,제주시,삼도이동,,983-1,5011010600,5011056000,5.01103E+11,관덕로,19,126.5214977,33.51343423,다다091028,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000001972,장소,관광지,8269315,김녕사굴,,,60603,유명사적/유적지,5.01103E+18,제주특별자치도,제주시,구좌읍,월정리,1862-6,5011025626,5011025600,,,,126.7751048,33.54319747,다다327059,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002014,장소,관광지,8269382,대정성지,,,60603,유명사적/유적지,5.01303E+18,제주특별자치도,서귀포시,대정읍,동일리,10,5013025028,5013025000,,,,126.2611003,33.25413921,나나845743,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002022,장소,관광지,8269391,돌염전,,,60603,유명사적/유적지,5.01101E+18,제주특별자치도,제주시,내도동,,449-10,5011014000,5011067000,,,,126.4465878,33.49806369,다다021011,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002025,장소,관광지,8269395,동굴유적지,,,60603,유명사적/유적지,5.01301E+18,제주특별자치도,서귀포시,색달동,,,5013011900,5013062000,,,,126.4003108,33.2416176,나나975727,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002038,장소,관광지,8269415,명월진성,,,60603,유명사적/유적지,5.01103E+18,제주특별자치도,제주시,한림읍,명월리,2162,5011025027,5011025000,,,,126.2607671,33.40019543,나나847905,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002039,장소,관광지,8269416,모충사,,,60603,유명사적/유적지,5.01101E+18,제주특별자치도,제주시,건입동,,426,5011010700,5011059000,,,,126.5458586,33.51643797,다다113031,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002073,장소,관광지,8269474,삼성혈,,,60603,유명사적/유적지,5.01101E+18,제주특별자치도,제주시,이도일동,,1313,5011010300,5011053000,5.01103E+11,삼성로,22,126.5291441,33.50427116,다다098017,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002074,장소,관광지,8269475,삼양선사유적지,,,60603,유명사적/유적지,5.01101E+18,제주특별자치도,제주시,삼양이동,,82790,5011011400,5011061000,,,,126.5876662,33.52333831,다다152038,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002125,장소,관광지,8269546,쌍용굴,,,60603,유명사적/유적지,5.01103E+18,제주특별자치도,제주시,한림읍,협재리,2600,5011025031,5011025000,,,,126.2405695,33.38653688,나나828890,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002151,장소,관광지,8269576,연혼포,,,60603,유명사적/유적지,5.01303E+18,제주특별자치도,서귀포시,성산읍,온평리,,5013025926,5013025900,,,,126.9108096,33.41357541,다나452914,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000002188,장소,관광지,8269624,원당사지,,,60603,유명사적/유적지,5.01101E+18,제주특별자치도,제주시,삼양일동,,696,5011011300,5011061000,,,,126.5985287,33.52936167,다다162045,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
